node_a,node_b,tech,start_time,end_time,duration,min_dist_m,max_dist_m,start_lat_a,start_lon_a,start_lat_b,start_lon_b,end_lat_a,end_lon_a,end_lat_b,end_lon_b
ESC2,V04,wifi,163.0,168.0,5.0,1.72,44.53,38.9062987,-77.0616338,38.9062783,-77.0621355,38.9062992,-77.0621417,38.9062901,-77.0616278
V05,V07,wifi,163.0,169.0,6.0,8.69,57.69,38.9044664,-77.0599823,38.9043638,-77.0606351,38.9043809,-77.0606076,38.9044331,-77.0600065
V01,V08,wifi,165.0,172.0,7.0,7.96,58.0,38.9062361,-77.0594025,38.906757,-77.0593917,38.9068285,-77.0594017,38.906334,-77.0596028
V01,WIS_N,wifi,160.0,172.0,12.0,3.84,62.12,38.9057423,-77.0594217,38.9063,-77.0594,38.9068285,-77.0594017,38.9063,-77.0594
V08,WIS_N,wifi,164.0,176.0,12.0,6.88,61.88,38.9068558,-77.0593899,38.9063,-77.0594,38.9063232,-77.0601105,38.9063,-77.0594
V05,M_36,wifi,167.0,179.0,12.0,2.85,63.1,38.904398,-77.0604826,38.9043,-77.0612,38.9042321,-77.0618619,38.9043,-77.0612
V08,EDGE_1,bluetooth,170.0,179.0,9.0,2.91,44.45,38.9063365,-77.0594864,38.9063,-77.0599786,38.9063151,-77.0604913,38.9063,-77.0599786
ESC1,WIS_P,bluetooth,178.0,186.0,8.0,4.28,39.72,38.9099005,-77.0598585,38.9099,-77.0594,38.9099001,-77.0589696,38.9099,-77.0594
V01,WIS_O,wifi,178.0,190.0,12.0,9.54,64.54,38.9075202,-77.0594008,38.9081,-77.0594,38.9080623,-77.0601109,38.9081,-77.0594
ESC2,V05,wifi,190.0,195.0,5.0,3.79,44.75,38.9047595,-77.0630889,38.9043591,-77.0630432,38.9043643,-77.0630956,38.9047543,-77.0630548
V07,WIS_N,wifi,185.0,197.0,12.0,7.33,62.33,38.9057404,-77.0594263,38.9063,-77.0594,38.9062762,-77.0601109,38.9063,-77.0594
V05,EDGE_0,wifi,183.0,198.0,15.0,4.82,64.88,38.904165,-77.0624909,38.9044685,-77.0631,38.9050506,-77.0630634,38.9044685,-77.0631
COI,N_33,wifi,188.0,200.0,12.0,4.92,61.08,38.9062996,-77.054995,38.9063,-77.0557,38.9063,-77.0563917,38.9063,-77.0557
V07,EDGE_1,bluetooth,191.0,200.0,9.0,2.99,44.48,38.9062626,-77.0594878,38.9063,-77.0599786,38.9062845,-77.0604917,38.9063,-77.0599786
ESC2,EDGE_0,wifi,188.0,203.0,15.0,0.8,63.14,38.9049571,-77.0630856,38.9044685,-77.0631,38.9041108,-77.0625343,38.9044685,-77.0631
COI,EDGE_2,wifi,193.0,205.0,12.0,3.23,62.77,38.9063,-77.0556299,38.9063,-77.056302,38.9063,-77.0570266,38.9063,-77.056302
ESC1,EDGE_3,bluetooth,210.0,213.0,3.0,40.73,43.46,38.9099,-77.0557952,38.9099,-77.0552994,38.9097423,-77.0557583,38.9099,-77.0552994
ESC1,P_33,bluetooth,207.0,215.0,8.0,8.25,41.25,38.9099,-77.0561761,38.9099,-77.0557,38.9095447,-77.0557513,38.9099,-77.0557
V06,EDGE_2,bluetooth,208.0,216.0,8.0,1.28,42.72,38.9063008,-77.0559064,38.9063,-77.056302,38.9063003,-77.0567952,38.9063,-77.056302
V05,V07,wifi,212.0,218.0,6.0,10.85,55.56,38.9062686,-77.0627702,38.9062992,-77.0621415,38.9062813,-77.0621355,38.9062997,-77.0627764
ESC2,M_36,wifi,207.0,219.0,12.0,3.45,62.49,38.9041994,-77.0619097,38.9043,-77.0612,38.9043727,-77.0605319,38.9043,-77.0612
V01,V05,wifi,217.0,223.0,6.0,4.88,63.76,38.9063343,-77.0614026,38.9062813,-77.0621355,38.9063215,-77.0620373,38.906294,-77.0615008
COI,WIS_N,wifi,217.0,229.0,12.0,7.6,62.6,38.9063,-77.0586773,38.9063,-77.0594,38.9068528,-77.059361,38.9063,-77.0594
V03,WIS_O,bluetooth,222.0,230.0,8.0,6.09,39.61,38.9080995,-77.0589488,38.9081,-77.0594,38.908455,-77.0593693,38.9081,-77.0594
ESC1,O_33,wifi,223.0,235.0,12.0,6.89,61.89,38.9086557,-77.0557197,38.9081,-77.0557,38.9081216,-77.0564106,38.9081,-77.0557
V00,V08,wifi,231.0,239.0,8.0,7.33,64.82,38.909911,-77.0625452,38.9095201,-77.0630997,38.9101553,-77.0630897,38.9098546,-77.062643
V06,WIS_N,bluetooth,232.0,240.0,8.0,5.65,39.58,38.9063,-77.0589538,38.9063,-77.0594,38.9059451,-77.0593736,38.9063,-77.0594
ESC2,V06,bluetooth,239.0,243.0,4.0,4.68,42.98,38.9057376,-77.0594338,38.9059451,-77.0593736,38.9060337,-77.059416,38.9056487,-77.059379
COI,WIS_O,wifi,235.0,247.0,12.0,4.08,61.88,38.9075443,-77.0593826,38.9081,-77.0594,38.9086307,-77.0593987,38.9081,-77.0594
V07,EDGE_0,wifi,233.0,247.0,14.0,0.8,59.05,38.9049571,-77.0630855,38.9044685,-77.0631,38.9041836,-77.062525,38.9044685,-77.0631
V02,V08,bluetooth,244.0,248.0,4.0,9.94,35.66,38.9099312,-77.0615297,38.9098785,-77.0618817,38.9099236,-77.0619105,38.9098905,-77.0615011
V03,WIS_P,bluetooth,240.0,248.0,8.0,6.88,39.88,38.9095418,-77.0593924,38.9099,-77.0594,38.9098725,-77.0589434,38.9099,-77.0594
ESC2,WIS_N,wifi,239.0,251.0,12.0,7.68,62.68,38.9057376,-77.0594338,38.9063,-77.0594,38.9062747,-77.0601112,38.9063,-77.0594
ESC2,EDGE_1,bluetooth,245.0,254.0,9.0,3.19,44.51,38.9062602,-77.0594883,38.9063,-77.0599786,38.9062835,-77.0604919,38.9063,-77.0599786
V01,V05,wifi,250.0,256.0,6.0,3.03,63.52,38.9080663,-77.0628973,38.9080821,-77.0621643,38.9080789,-77.0622626,38.9080942,-77.062799
COI,WIS_P,bluetooth,255.0,263.0,8.0,1.7,42.3,38.90952,-77.0593996,38.9099,-77.0594,38.9102117,-77.0593999,38.9099,-77.0594
V07,M_36,wifi,251.0,263.0,12.0,5.51,61.63,38.904239,-77.0618941,38.9043,-77.0612,38.9048532,-77.0612291,38.9043,-77.0612
ESC1,WIS_O,wifi,252.0,264.0,12.0,4.95,61.04,38.9081005,-77.0586953,38.9081,-77.0594,38.9081,-77.0600921,38.9081,-77.0594
V08,WIS_P,bluetooth,260.0,268.0,8.0,6.11,39.61,38.9098996,-77.0598515,38.9099,-77.0594,38.910255,-77.0594309,38.9099,-77.0594
V06,M_36,bluetooth,264.0,272.0,8.0,2.81,41.14,38.9043644,-77.0607323,38.9043,-77.0612,38.9042591,-77.0616098,38.9043,-77.0612
V03,EDGE_3,bluetooth,272.0,275.0,3.0,38.59,41.56,38.9099,-77.0557699,38.9099,-77.0552994,38.9100574,-77.0557344,38.9099,-77.0552994
V03,P_33,bluetooth,269.0,277.0,8.0,6.05,39.6,38.9098998,-77.0561508,38.9099,-77.0557,38.910255,-77.0557303,38.9099,-77.0557
COI,WIS_Q,wifi,272.0,283.0,11.0,11.56,61.84,38.9111998,-77.0594,38.9117,-77.0594,38.9116501,-77.060111,38.9117,-77.0594
V00,V01,wifi,282.0,288.0,6.0,2.81,55.65,38.9103578,-77.0612031,38.9099373,-77.0612005,38.909936,-77.0612868,38.9104314,-77.0612004
V08,WIS_Q,wifi,276.0,288.0,12.0,6.88,61.88,38.9111442,-77.0594119,38.9117,-77.0594,38.911678,-77.0601106,38.9117,-77.0594
V07,EDGE_1,bluetooth,282.0,291.0,9.0,1.48,44.35,38.9062756,-77.0604895,38.9063,-77.0599786,38.9062983,-77.0594741,38.9063,-77.0599786
